"* 010201";"TO1"
"* 150201";"A.S.L. AVELLINO"
"* 150202";"A.S.L. BENEVENTO"
"* 150203";"A.S.L. CASERTA"
"* 150204";"A.S.L. NAPOLI 1 CENTRO"
"* 150205";"A.S.L. NAPOLI 2 NORD"
"* 150206";"A.S.L. NAPOLI 3 SUD"
"* 150207";"A.S.L. SALERNO"
"* 160106";"ASL BR"
"* 160112";"ASL TA"
"* 160113";"ASL BT"
"* 160114";" ASL BA"
"* 160115";" ASL FG"
"* 160116";" ASL LE"
"* 170201";"AZIENDA SANITARIA LOCALE DI POTENZA ASP"
"* 170202";"AZIENDA SANITARIA LOCALE DI MATERA  ASM"
"* 180109";"LOCRI                                   "
"* 180201";"A.S.P. COSENZA"
"* 180202";"A.S.P. CROTONE"
"* 180203";"A.S.P. CATANZARO"
"* 180204";"A.S.P. VIBO VALENTIA"
"* 180205";"A.S.P. REGGIO CALABRIA"
"* 190201";"ASP AGRIGENTO"
"* 190202";"ASP CALTANISSETTA"
"* 190203";"ASP CATANIA"
"* 190204";"ASP ENNA"
"* 190205";"ASP MESSINA"
"* 190206";"ASP PALERMO"
"* 190207";"ASP RAGUSA"
"* 190208";"ASP SIRACUSA"
"* 190209";"ASP DI TRAPANI"
"* 200101";"SASSARI"
"* 200102";"OLBIA                                   "
"* 200103";"NUORO                                   "
"* 200104";"LANUSEI                                 "
"* 200105";"ORISTANO                                "
"* 200106";"SANLURI"
"* 200107";"CARBONIA                                "
"* 200108";"CAGLIARI"
"* 200201";"AZIENDA PER LA TUTELA DELLA SALUTE"
